IAGA Code,Observatory Name,Latitude,Longitude,Altitude (metres),Country Code,Year Valid From,Year Valid To
KAK,KAKIOKA,36.233,140.183,28,JPN
KDU,KAKADU,-12.683,132.467,14,AUS
KIR,KIRUNA,67.800,20.400,390,SWE
KIV,DYMER,50.717,30.300,100,RUS
KLD,KALININGRAD,54.700,20.617,-999,RUS
KNY,KANOYA,31.417,130.883,105,JPN
KNZ,KANOZAN,35.250,139.967,342,JPN
KOD,KODAIKANAL,10.233,77.467,2323,IND
KOU,KOUROU,2.217,307.267,10,FRA
KRC,KARACHI,24.950,67.133,-999,PAK
KSH,KASHI,39.500,76.000,1321,CHN
KZN,ZAYMISHCHE (RAIFA),55.833,48.850,80,RUS
LAS,LAS ACACIAS,-35.000,302.300,20,ARG
LER,LERWICK,60.133,358.817,85,GBR
LIV,LIVINGSTON ISLAND,-62.667,299.600,19,ESP
LMM,LOURENCO_MARQUES,-25.920,32.580,40,MOZ
LNN,VOEIKOVO (LENINGRAD),59.950,30.700,70,RUS
LNP,LUNPING,25.000,121.167,100,TWN
LOV,LOVO,59.350,17.833,25,SWE
LQA,LA QUIACA,-22.100,294.400,3450,ARG
LRM,LEARMONTH,-22.217,114.100,4,AUS
LRV,LEIRVOGUR,64.183,338.300,5,ISL
LSA,LHASA,29.633,91.033,3655,CHN
LUA,LUANDA BELAS,-8.917,13.167,53,AGO
LVV,LVOV,49.900,23.750,400,UKR
LZH,LANZHOU,36.083,103.850,1560,CH2
MAB,MANHAY,50.300,5.683,440,BEL
MAW,MAWSON,-67.600,62.883,12,AUS
MBC,MOULD BAY,76.317,240.633,40,CAN
MBO,M'BOUR,14.400,343.050,7,SEN
MCQ,MACQUARIE ISLAND,-54.500,158.950,8,AUS
MEA,MEANOOK,54.617,246.650,700,CAN
MGD,STEKOLNYY (MAGADAN),60.117,151.017,-999,RUS
MID,MIDWAY,28.217,182.617,0,USA
MIR,MIRNY,-66.550,93.017,20,RUS
MIZ,MIZUSAWA,39.117,141.200,125,JPN
MLT,MISALLAT,29.517,30.900,120,EGY
MMB,MEMAMBETSU,43.917,144.200,39,JPN
MNK,PLESHCHENITSI (MINSK),54.500,27.883,200,RUS
MOL,MOLODYOZHNAYA,-67.667,45.850,0,RUS
MOS,KRASNAYA PAKHRA (MOSCOW),55.467,37.317,200,RUS
MZL,MANZHOULI,49.600,117.400,682,CHN
NAL,NEW ALESUND,78.917,11.933,0,NOR
NAQ,NARSARSUAQ,61.167,314.567,4,DNK
NCK,NAGYCENK,47.633,16.717,160,HUN
NEW,NEWPORT,48.267,242.883,780,USA
NGK,NIEMEGK,52.067,12.683,78,DEU
NGR,NAGPUR,21.150,79.083,-999,IND
NKK,NOVOKAZALINSK,45.767,62.117,-999,RUS
NUR,NURMIJARVI,60.517,24.650,105,FIN
NVS,KLYUCHI (NOVOSIBIRSK),55.033,82.900,-999,RUS
ODE,ODESSA (STEPANOVKA),46.783,30.883,140,RUS
OTT,OTTAWA,45.400,284.450,75,CAN
PAF,PORT-AUX-FRANCAIS (KERGUELEN),-49.350,70.250,15,FRA
PAG,PANAGYURISHTE,42.517,24.183,556,BGR
PBQ,POSTE-DE-LA-BALEINE,55.283,282.250,40,CAN
PEG,PENTELI,38.083,23.933,500,GRC
PET,PARATUNKA,53.100,158.633,110,RUS
PHU,PHU THUY,21.033,105.950,5,VNM
PIL,PILAR,-31.667,296.117,336,ARG
PND,PONDICHERRY,11.917,79.917,-999,IND
POD,PODKAMENNAYA TUNGUSKA,61.600,90.000,-999,RUS
PPT,PAMATAI (PAPEETE),-17.567,210.417,342,FRA
PST,PORT STANLEY (FALKLAND ISLANDS),-51.700,302.117,135,GBR
PTY,PATACAMAYA,-17.250,292.050,3789,BOL
QGZ,QIONGZHONG,19.000,109.800,227,CHN
QIX,QIANLING,34.600,108.200,893,CHN
QSB,QSAYBEH,33.867,35.650,525,LBN
QUE,QUETTA,30.200,66.950,1737,PAK
QZH,QUANZHOU,24.900,118.600,10,CHN
RES,RESOLUTE BAY,74.683,265.100,30,CAN
SAB,SABHAWALA,30.367,77.800,498,IND
SBA,SCOTT BASE,-77.850,166.783,10,NZL
SBL,SABLE ISLAND,43.933,299.983,-999,GBR
SFS,SAN FERNANDO,36.500,353.883,-999,ESP
SHL,SHILLONG,25.567,91.883,-999,IND
