IAGA Code,Observatory Name,Lat (deg),Lat (mins),Latitude,Colatitude,Long (deg),Long (mins),Longitude,Altitude (metres),ISO 3166 Country Code,Year Valid From,Year Valid To
ETT,ETAIYAPURAM,9,10,9.166666667,80.83333333,78,1,78.01666667,-999,IND
EYR,EYREWELL,-43,25,-43.41666667,133.4166667,172,21,172.35,120,NZL
FCC,FORT CHURCHILL,58,46,58.76666667,31.23333333,265,55,265.9166667,15,CAN
FRD,FREDERICKSBURG,38,12,38.2,51.8,282,38,282.6333333,69,USA
FRN,FRESNO,37,5,37.08333333,52.91666667,240,17,240.2833333,0,USA
FUQ,FUQUENE,5,28,5.466666667,84.53333333,286,16,286.2666667,2543,COL
FUR,FURSTENFELDBRUCK,48,10,48.16666667,41.83333333,11,17,11.28333333,572,DEU
GCK,GROCKA,44,38,44.63333333,45.36666667,20,46,20.76666667,231,YUG
GDH,QEQERTARSUAQ (GODHAVN),69,15,69.25,20.75,306,28,306.4666667,24,DNK
GLM,GOLMUD,36,24,36.4,53.6,94,54,94.9,2802,CHN
GLN,GLENLEA,49,39,49.65,40.35,262,53,262.8833333,-999,CAN
GNA,GNANGARA,-31,47,-31.78333333,121.7833333,115,57,115.95,60,AUS
GUI,GUIMAR,28,19,28.31666667,61.68333333,343,34,343.56,868,ESP
GUA,GUAM,13,35,13.58333333,76.41666667,144,52,144.8666667,150,USA
GVN,NEUMAYER STATION,-70,40,-70.66666667,160.6666667,351,44,351.7333333,0,DEU
GZH,ZHAOQING,23,0,22.97,67.03,112,7,112.45,11,CHN
HAD,HARTLAND,51,0,51,39,355,31,355.5166667,95,GBR
HBK,HARTEBEESTHOEK,-25,53,-25.88333333,115.8833333,27,42,27.7,1522,ZAF
HER,HERMANUS,-34,25,-34.41666667,124.4166667,19,14,19.23333333,26,ZAF
HIS,HEISS ISLAND (DRUZHNAYA),80,37,80.61666667,9.383333333,58,3,58.05,20,RUS
HLP,HEL,54,36,54.6,35.4,18,49,18.81666667,1,POL
HON,HONOLULU,21,19,21.31666667,68.68333333,202,0,202,3,USA
HRB,"HURBANOVO (O GYALLA, STARA DALA)",47,52,47.86666667,42.13333333,18,11,18.18333333,120,SVK
HRN,HORNSUND,77,0,77,13,15,33,15.55,15,POL
HTY,HATIZYO (HACHIJOJIMA),33,4,33.06666667,56.93333333,139,50,139.8333333,220,JPN
HUA,HUANCAYO,-12,3,-12.05,102.05,284,41,284.6833333,3312,PER
HVN,LA HABANA (INST.GEOFIS.Y ASTRON.),22,59,22.98333333,67.01666667,277,41,277.6833333,-999,CUB
HYB,HYDERABAD,17,25,17.41666667,72.58333333,78,33,78.55,500,IND
IQA,IQALUIT,63,45,63.75,26.25,291,29,291.4833333,67,CAN
IRT,PATRONY (IRKUTSK),52,10,52.16666667,37.83333333,104,27,104.45,540,RUS
ISK,KANDILLI (ISTANBUL),41,4,41.06666667,48.93333333,29,4,29.06666667,130,TUR
KAK,KAKIOKA,36,14,36.23333333,53.76666667,140,11,140.1833333,28,JPN
KDU,KAKADU,-12,41,-12.68333333,102.6833333,132,28,132.4666667,14,AUS
KIR,KIRUNA,67,48,67.8,22.2,20,24,20.4,390,SWE
KIV,DYMER,50,43,50.71666667,39.28333333,30,18,30.3,100,RUS
KLD,KALININGRAD,54,42,54.7,35.3,20,37,20.61666667,-999,RUS
KNY,KANOYA,31,25,31.41666667,58.58333333,130,53,130.8833333,105,JPN
KNZ,KANOZAN,35,15,35.25,54.75,139,58,139.9666667,342,JPN
KOD,KODAIKANAL,10,14,10.23333333,79.76666667,77,28,77.46666667,2323,IND
KOU,KOUROU,2,13,2.216666667,87.78333333,307,16,307.2666667,10,FRA
KRC,KARACHI,24,57,24.95,65.05,67,8,67.13333333,-999,PAK
KSH,KASHI,39,30,39.5,50.5,76,0,76,1321,CHN
KZN,ZAYMISHCHE (RAIFA),55,50,55.83333333,34.16666667,48,51,48.85,80,RUS
LAS,LAS ACACIAS,-35,0,-35,125,302,18,302.3,20,ARG
LER,LERWICK,60,8,60.13333333,29.86666667,358,49,358.8166667,85,GBR
LIV,LIVINGSTON ISLAND,-62,40,-62.66666667,152.6666667,299,36,299.6,19,ESP
LNN,VOEIKOVO (LENINGRAD),59,57,59.95,30.05,30,42,30.7,70,RUS
LNP,LUNPING,25,0,25,65,121,10,121.1666667,100,TWN
LOV,LOVO,59,21,59.35,30.65,17,50,17.83333333,25,SWE
LQA,LA QUIACA,-22,6,-22.1,112.1,294,24,294.4,3450,ARG
LRM,LEARMONTH,-22,13,-22.21666667,112.2166667,114,6,114.1,4,AUS
LRV,LEIRVOGUR,64,11,64.18333333,25.81666667,338,18,338.3,5,ISL
LSA,LHASA,29,38,29.63333333,60.36666667,91,2,91.03333333,3655,CHN
LUA,LUANDA BELAS,-8,55,-8.916666667,98.91666667,13,10,13.16666667,53,AGO
LVV,LVOV,49,54,49.9,40.1,23,45,23.75,400,RUS
LZH,LANZHOU,36,5,36.08333333,53.91666667,103,51,103.85,1560,CHN
MAB,MANHAY,50,18,50.3,39.7,5,41,5.683333333,440,BEL
MAW,MAWSON,-67,36,-67.6,157.6,62,53,62.88333333,12,AUS
MBC,MOULD BAY,76,19,76.31666667,13.68333333,240,38,240.6333333,40,CAN
MBO,M'BOUR,14,24,14.4,75.6,343,3,343.05,7,FRA
MCQ,MACQUARIE ISLAND,-54,30,-54.5,144.5,158,57,158.95,8,AUS
MEA,MEANOOK,54,37,54.61666667,35.38333333,246,39,246.65,700,CAN
MGD,STEKOLNYY (MAGADAN),60,7,60.11666667,29.88333333,151,1,151.0166667,999999,RUS
MID,MIDWAY,28,13,28.21666667,61.78333333,182,37,182.6166667,3,USA
MIR,MIRNY,-66,33,-66.55,156.55,93,1,93.01666667,20,RUS
MIZ,MIZUSAWA,39,7,39.11666667,50.88333333,141,12,141.2,125,JPN
MLT,MISALLAT,29,31,29.51666667,60.48333333,30,54,30.9,120,EGY
MMB,MEMAMBETSU,43,55,43.91666667,46.08333333,144,12,144.2,39,JPN
MNK,PLESHCHENITSI (MINSK),54,30,54.5,35.5,27,53,27.88333333,200,RUS
MOL,MOLODYOZHNAYA,-67,40,-67.66666667,157.6666667,45,51,45.85,0,RUS
MOS,KRASNAYA PAKHRA (MOSCOW),55,28,55.46666667,34.53333333,37,19,37.31666667,200,RUS
MZL,MANZHOULI,49,36,49.6,40.4,117,24,117.4,682,CHN
NAL,NEW ALESUND,78,55,78.91666667,11.08333333,11,56,11.93333333,0,NOR
NAQ,NARSARSUAQ,61,10,61.16666667,28.83333333,314,34,314.5666667,4,DNK
NCK,NAGYCENK,47,38,47.63333333,42.36666667,16,43,16.71666667,160,HUN
NEW,NEWPORT,48,16,48.26666667,41.73333333,242,53,242.8833333,780,USA
NGK,NIEMEGK,52,4,52.06666667,37.93333333,12,41,12.68333333,78,DEU
NGR,NAGPUR,21,9,21.15,68.85,79,5,79.08333333,-999,IND
NKK,NOVOKAZALINSK,45,46,45.76666667,44.23333333,62,7,62.11666667,-999,RUS
NUR,NURMIJARVI,60,31,60.51666667,29.48333333,24,39,24.65,105,FIN
NVS,KLYUCHI (NOVOSIBIRSK),55,2,55.03333333,34.96666667,82,54,82.9,-999,RUS
ODE,ODESSA (STEPANOVKA),46,47,46.78333333,43.21666667,30,53,30.88333333,140,RUS
OTT,OTTAWA,45,24,45.4,44.6,284,27,284.45,75,CAN
PAF,PORT-AUX-FRANCAIS (KERGUELEN),-49,21,-49.35,139.35,70,15,70.25,15,FRA
PAG,PANAGYURISHTE,42,31,42.51666667,47.48333333,24,11,24.18333333,556,BGR
PBQ,POSTE-DE-LA-BALEINE,55,17,55.28333333,34.71666667,282,15,282.25,40,CAN
PEG,PENTELI,38,5,38.08333333,51.91666667,23,56,23.93333333,500,GRC
PET,PARATUNKA,53,6,53.1,36.9,158,38,158.6333333,110,RUS
PHU,PHU THUY,21,2,21.03333333,68.96666667,105,57,105.95,5,VNM
PIL,PILAR,-31,40,-31.66666667,121.6666667,296,7,296.1166667,336,ARG
PND,PONDICHERRY,11,55,11.91666667,78.08333333,79,55,79.91666667,-999,IND
POD,PODKAMENNAYA TUNGUSKA,61,36,61.6,28.4,90,0,90,-999,RUS
PPT,PAMATAI (PAPEETE),-17,34,-17.56666667,107.5666667,210,25,210.4166667,342,FRA
PST,PORT STANLEY (FALKLAND ISLANDS),-51,42,-51.7,141.7,302,7,302.1166667,135,GBR
PTY,PATACAMAYA,-17,15,-17.25,107.25,292,3,292.05,3789,BOL
QGZ,QIONGZHONG,19,0,19,71,109,48,109.8,227,CHN
QIX,QIANLING,34,36,34.6,55.4,108,12,108.2,893,CHN
QSB,QSAYBEH,33,52,33.86666667,56.13333333,35,39,35.65,525,LBN
QUE,QUETTA,30,12,30.2,59.8,66,57,66.95,1737,PAK
QZH,QUANZHOU,24,54,24.9,65.1,118,36,118.6,10,CHN
RES,RESOLUTE BAY,74,41,74.68333333,15.31666667,265,6,265.1,30,CAN
SAB,SABHAWALA,30,22,30.36666667,59.63333333,77,48,77.8,498,IND
SBA,SCOTT BASE,-77,51,-77.85,167.85,166,47,166.7833333,10,NZL
SBL,SABLE ISLAND,43,56,43.93333333,46.06666667,299,59,299.9833333,-999,GBR
SFS,SAN FERNANDO,36,30,36.5,53.5,353,53,353.8833333,-999,ESP
SHL,SHILLONG,25,34,25.56666667,64.43333333,91,53,91.88333333,-999,IND
SIT,SITKA,57,4,57.06666667,32.93333333,224,41,224.6833333,22,USA
SJG,SAN JUAN (PUERTO RICO),18,7,18.11666667,71.88333333,293,51,293.85,400,USA
SOD,SODANKYLA,67,22,67.36666667,22.63333333,26,38,26.63333333,178,FIN
SPT,SAN PABLO DE LOS MONTES,39,33,39.55,50.45,355,39,355.65,922,ESP
SSH,ZO-SE (SHESHAN),31,6,31.1,58.9,121,11,121.1833333,100,CHN
STJ,ST. JOHNS,47,36,47.6,42.4,307,19,307.3166667,100,CAN
SUA,SURLARI,44,41,44.68333333,45.31666667,26,15,26.25,84,ROM
SYO,SYOWA STATION,-69,0,-69,159,39,35,39.58333333,0,JPN
TAM,TAMANRASSET,22,48,22.8,67.2,5,32,5.533333333,1377,DZA
TAN,ANTANANARIVO (TANANARIVE),-18,55,-18.91666667,108.9166667,47,33,47.55,1375,MDG
TEN,SANTA CRUZ DE TENERIFE (LAS MESAS),28,29,28.48333333,61.51666667,343,44,343.7333333,310,ESP
TEO,TEOLOYUCAN,19,45,19.75,70.25,260,49,260.8166667,2280,MEX
TFS,DUSHETI (TBILISI),42,5,42.08333333,47.91666667,44,42,44.7,980,GEO
THJ,TONGHAI,24,0,24,66,102,42,102.7,1820,CHN
THL,QAANAAQ (THULE),77,28,77.46666667,12.53333333,290,46,290.7666667,57,DNK
THY,TIHANY,46,54,46.9,43.1,17,54,17.9,187,HUN
TIK,TIKSI,71,35,71.58333333,18.41666667,129,0,129,40,RUS
TKT,YANGI-BAZAR,41,20,41.33333333,48.66666667,69,37,69.61666667,810,RUS
TNB,TERRA NOVA BAY,-74,41,-74.68333333,164.6833333,164,7,164.1166667,28,ITA
TNG,TANGERANG,-6,10,-6.166666667,96.16666667,106,38,106.6333333,14,IDN
TRD,TRIVANDRUM,8,29,8.483333333,81.51666667,76,58,76.96666667,300,IND
TRO,TROMSO,69,40,69.66666667,20.33333333,18,56,18.93333333,105,NOR
TRW,TRELEW,-43,16,-43.26666667,133.2666667,294,37,294.6166667,30,ARG
TSU,TSUMEB,-19,12,-19.2,109.2,17,35,17.58333333,83,ZAF
TTB,TATUOCA,-1,12,-1.2,91.2,311,29,311.4833333,10,BRA
TUC,TUCSON,32,15,32.25,57.75,249,10,249.1666667,770,USA
TUC,TUCSON,32,10,32.16666667,57.83333333,249,16,249.2666667,-999,USA
